05/13 13:35:39 [DEBUG] [31348] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/asset/download/V50ODa0PkgfChAKqlmpX60tLSVwemBLjv8wP9E83lXg_/UmVzZXJ2ZWRGb3JGdXR1cmVVc2U_/XFxpbnRlcm5hbC5pZG0uY3RyXElETVxIb21lXGpvcnVzc2VsbFxvdXRwdXRcUGZQUl9ieV9FSVJfc3dlZXBfQ29UcmFuc21pc3Npb25fZl8yMDIwMDUxM18xNzM2NThcODY2XDIxYlw5NDRcODY2MjFiOTQtNDA5NS1lYTExLWEyYzUtYzQzNDZiY2IxNTUwXG91dHB1dFxJbnNldENoYXJ0Lmpzb24_/InsetChart.json
05/13 13:35:41 [DEBUG] [31348] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/asset/Simulations/a504238e-4095-ea11-a2c5-c4346bcb1550/Output {'flatten': 1}
05/13 13:35:41 [DEBUG] [31348] [COMPS.Data.AssetManager] adding [output/InsetChart.json -> InsetChart.json] to map
05/13 13:35:41 [DEBUG] [31348] [COMPS.Data.AssetManager] adding [output/MalariaSummaryReport_Annual_Report.json -> MalariaSummaryReport_Annual_Report.json] to map
05/13 13:35:41 [DEBUG] [31348] [COMPS.Data.AssetManager] adding [campaign.json -> campaign.json] to map
05/13 13:35:41 [DEBUG] [31348] [COMPS.Data.AssetManager] adding [config.json -> config.json] to map
05/13 13:35:41 [DEBUG] [31348] [COMPS.Data.AssetManager] adding [StdErr.txt -> StdErr.txt] to map
05/13 13:35:41 [DEBUG] [31348] [COMPS.Data.AssetManager] adding [emodules_map.json -> emodules_map.json] to map
05/13 13:35:41 [DEBUG] [31348] [COMPS.Data.AssetManager] adding [StdOut.txt -> StdOut.txt] to map
05/13 13:35:41 [DEBUG] [31348] [COMPS.Data.AssetManager] adding [custom_reports.json -> custom_reports.json] to map
05/13 13:35:41 [DEBUG] [31348] [COMPS.Data.AssetManager] adding [status.txt -> status.txt] to map
05/13 13:35:41 [DEBUG] [31348] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/asset/download/toSEcGrc9eZTmZQJ-9pYoCTjEM3gnXmHjJR6jynZoVA_/UmVzZXJ2ZWRGb3JGdXR1cmVVc2U_/XFxpbnRlcm5hbC5pZG0uY3RyXElETVxIb21lXGpvcnVzc2VsbFxvdXRwdXRcUGZQUl9ieV9FSVJfc3dlZXBfQ29UcmFuc21pc3Npb25fZl8yMDIwMDUxM18xNzM2NThcOGU2XDIxYlw5NDRcOGU2MjFiOTQtNDA5NS1lYTExLWEyYzUtYzQzNDZiY2IxNTUwXG91dHB1dFxJbnNldENoYXJ0Lmpzb24_/InsetChart.json
